record_id,plate_number,plate_title_en,plate_title_ar,exploded_diagram_reference,official_nissan_part_number,english_name,arabic_name,english_description,arabic_description,quantity,applicable_years,applicable_vin,applicable_market,applicable_engine,applicable_transmission,applicable_trim,applicable_body,superseded_part_number,replacement_part_number,technical_notes_en,technical_notes_ar,source_status,source_reference
Y60-PART-0001,Y60-001,Engine - Master Verification Plate,المحرك - لوحة تحقق رئيسية,VERIFICATION REQUIRED,VERIFICATION REQUIRED,Engine component - verification record,قطعة من المحرك - سجل تحقق,"Official Nissan EPC part record not yet loaded. Populate only from verified Nissan EPC plate, parts microfiche, FAST export, or dealer supersession evidence.",لم يتم تحميل سجل القطعة الرسمي من Nissan EPC بعد. تتم التعبئة فقط من لوحة EPC موثقة أو ميكروفيش قطع أو تصدير FAST أو دليل بدائل من الوكيل.,VERIFICATION REQUIRED,1988-1997 pending plate verification,VERIFICATION REQUIRED,All listed markets pending verification,All listed engines pending verification,All listed transmissions pending verification,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Do not order, quote, or publish as a final part until verified against official Nissan data.",لا تستخدم للطلب أو التسعير أو النشر النهائي قبل التحقق من بيانات نيسان الرسمية.,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-PART-0002,Y60-002,Cooling - Master Verification Plate,نظام التبريد - لوحة تحقق رئيسية,VERIFICATION REQUIRED,VERIFICATION REQUIRED,Cooling component - verification record,قطعة من نظام التبريد - سجل تحقق,"Official Nissan EPC part record not yet loaded. Populate only from verified Nissan EPC plate, parts microfiche, FAST export, or dealer supersession evidence.",لم يتم تحميل سجل القطعة الرسمي من Nissan EPC بعد. تتم التعبئة فقط من لوحة EPC موثقة أو ميكروفيش قطع أو تصدير FAST أو دليل بدائل من الوكيل.,VERIFICATION REQUIRED,1988-1997 pending plate verification,VERIFICATION REQUIRED,All listed markets pending verification,All listed engines pending verification,All listed transmissions pending verification,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Do not order, quote, or publish as a final part until verified against official Nissan data.",لا تستخدم للطلب أو التسعير أو النشر النهائي قبل التحقق من بيانات نيسان الرسمية.,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-PART-0003,Y60-003,Fuel - Master Verification Plate,نظام الوقود - لوحة تحقق رئيسية,VERIFICATION REQUIRED,VERIFICATION REQUIRED,Fuel component - verification record,قطعة من نظام الوقود - سجل تحقق,"Official Nissan EPC part record not yet loaded. Populate only from verified Nissan EPC plate, parts microfiche, FAST export, or dealer supersession evidence.",لم يتم تحميل سجل القطعة الرسمي من Nissan EPC بعد. تتم التعبئة فقط من لوحة EPC موثقة أو ميكروفيش قطع أو تصدير FAST أو دليل بدائل من الوكيل.,VERIFICATION REQUIRED,1988-1997 pending plate verification,VERIFICATION REQUIRED,All listed markets pending verification,All listed engines pending verification,All listed transmissions pending verification,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Do not order, quote, or publish as a final part until verified against official Nissan data.",لا تستخدم للطلب أو التسعير أو النشر النهائي قبل التحقق من بيانات نيسان الرسمية.,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-PART-0004,Y60-004,Ignition - Master Verification Plate,نظام الإشعال - لوحة تحقق رئيسية,VERIFICATION REQUIRED,VERIFICATION REQUIRED,Ignition component - verification record,قطعة من نظام الإشعال - سجل تحقق,"Official Nissan EPC part record not yet loaded. Populate only from verified Nissan EPC plate, parts microfiche, FAST export, or dealer supersession evidence.",لم يتم تحميل سجل القطعة الرسمي من Nissan EPC بعد. تتم التعبئة فقط من لوحة EPC موثقة أو ميكروفيش قطع أو تصدير FAST أو دليل بدائل من الوكيل.,VERIFICATION REQUIRED,1988-1997 pending plate verification,VERIFICATION REQUIRED,All listed markets pending verification,All listed engines pending verification,All listed transmissions pending verification,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Do not order, quote, or publish as a final part until verified against official Nissan data.",لا تستخدم للطلب أو التسعير أو النشر النهائي قبل التحقق من بيانات نيسان الرسمية.,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-PART-0005,Y60-005,Lubrication - Master Verification Plate,نظام التزييت - لوحة تحقق رئيسية,VERIFICATION REQUIRED,VERIFICATION REQUIRED,Lubrication component - verification record,قطعة من نظام التزييت - سجل تحقق,"Official Nissan EPC part record not yet loaded. Populate only from verified Nissan EPC plate, parts microfiche, FAST export, or dealer supersession evidence.",لم يتم تحميل سجل القطعة الرسمي من Nissan EPC بعد. تتم التعبئة فقط من لوحة EPC موثقة أو ميكروفيش قطع أو تصدير FAST أو دليل بدائل من الوكيل.,VERIFICATION REQUIRED,1988-1997 pending plate verification,VERIFICATION REQUIRED,All listed markets pending verification,All listed engines pending verification,All listed transmissions pending verification,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Do not order, quote, or publish as a final part until verified against official Nissan data.",لا تستخدم للطلب أو التسعير أو النشر النهائي قبل التحقق من بيانات نيسان الرسمية.,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-PART-0006,Y60-006,Exhaust - Master Verification Plate,نظام العادم - لوحة تحقق رئيسية,VERIFICATION REQUIRED,VERIFICATION REQUIRED,Exhaust component - verification record,قطعة من نظام العادم - سجل تحقق,"Official Nissan EPC part record not yet loaded. Populate only from verified Nissan EPC plate, parts microfiche, FAST export, or dealer supersession evidence.",لم يتم تحميل سجل القطعة الرسمي من Nissan EPC بعد. تتم التعبئة فقط من لوحة EPC موثقة أو ميكروفيش قطع أو تصدير FAST أو دليل بدائل من الوكيل.,VERIFICATION REQUIRED,1988-1997 pending plate verification,VERIFICATION REQUIRED,All listed markets pending verification,All listed engines pending verification,All listed transmissions pending verification,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Do not order, quote, or publish as a final part until verified against official Nissan data.",لا تستخدم للطلب أو التسعير أو النشر النهائي قبل التحقق من بيانات نيسان الرسمية.,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-PART-0007,Y60-007,Electrical - Master Verification Plate,النظام الكهربائي - لوحة تحقق رئيسية,VERIFICATION REQUIRED,VERIFICATION REQUIRED,Electrical component - verification record,قطعة من النظام الكهربائي - سجل تحقق,"Official Nissan EPC part record not yet loaded. Populate only from verified Nissan EPC plate, parts microfiche, FAST export, or dealer supersession evidence.",لم يتم تحميل سجل القطعة الرسمي من Nissan EPC بعد. تتم التعبئة فقط من لوحة EPC موثقة أو ميكروفيش قطع أو تصدير FAST أو دليل بدائل من الوكيل.,VERIFICATION REQUIRED,1988-1997 pending plate verification,VERIFICATION REQUIRED,All listed markets pending verification,All listed engines pending verification,All listed transmissions pending verification,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Do not order, quote, or publish as a final part until verified against official Nissan data.",لا تستخدم للطلب أو التسعير أو النشر النهائي قبل التحقق من بيانات نيسان الرسمية.,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-PART-0008,Y60-008,Charging - Master Verification Plate,نظام الشحن - لوحة تحقق رئيسية,VERIFICATION REQUIRED,VERIFICATION REQUIRED,Charging component - verification record,قطعة من نظام الشحن - سجل تحقق,"Official Nissan EPC part record not yet loaded. Populate only from verified Nissan EPC plate, parts microfiche, FAST export, or dealer supersession evidence.",لم يتم تحميل سجل القطعة الرسمي من Nissan EPC بعد. تتم التعبئة فقط من لوحة EPC موثقة أو ميكروفيش قطع أو تصدير FAST أو دليل بدائل من الوكيل.,VERIFICATION REQUIRED,1988-1997 pending plate verification,VERIFICATION REQUIRED,All listed markets pending verification,All listed engines pending verification,All listed transmissions pending verification,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Do not order, quote, or publish as a final part until verified against official Nissan data.",لا تستخدم للطلب أو التسعير أو النشر النهائي قبل التحقق من بيانات نيسان الرسمية.,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-PART-0009,Y60-009,Starter - Master Verification Plate,نظام بادئ التشغيل - لوحة تحقق رئيسية,VERIFICATION REQUIRED,VERIFICATION REQUIRED,Starter component - verification record,قطعة من نظام بادئ التشغيل - سجل تحقق,"Official Nissan EPC part record not yet loaded. Populate only from verified Nissan EPC plate, parts microfiche, FAST export, or dealer supersession evidence.",لم يتم تحميل سجل القطعة الرسمي من Nissan EPC بعد. تتم التعبئة فقط من لوحة EPC موثقة أو ميكروفيش قطع أو تصدير FAST أو دليل بدائل من الوكيل.,VERIFICATION REQUIRED,1988-1997 pending plate verification,VERIFICATION REQUIRED,All listed markets pending verification,All listed engines pending verification,All listed transmissions pending verification,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Do not order, quote, or publish as a final part until verified against official Nissan data.",لا تستخدم للطلب أو التسعير أو النشر النهائي قبل التحقق من بيانات نيسان الرسمية.,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-PART-0010,Y60-010,Body - Master Verification Plate,الهيكل الخارجي - لوحة تحقق رئيسية,VERIFICATION REQUIRED,VERIFICATION REQUIRED,Body component - verification record,قطعة من الهيكل الخارجي - سجل تحقق,"Official Nissan EPC part record not yet loaded. Populate only from verified Nissan EPC plate, parts microfiche, FAST export, or dealer supersession evidence.",لم يتم تحميل سجل القطعة الرسمي من Nissan EPC بعد. تتم التعبئة فقط من لوحة EPC موثقة أو ميكروفيش قطع أو تصدير FAST أو دليل بدائل من الوكيل.,VERIFICATION REQUIRED,1988-1997 pending plate verification,VERIFICATION REQUIRED,All listed markets pending verification,All listed engines pending verification,All listed transmissions pending verification,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Do not order, quote, or publish as a final part until verified against official Nissan data.",لا تستخدم للطلب أو التسعير أو النشر النهائي قبل التحقق من بيانات نيسان الرسمية.,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
