missing_record_id,system_key,system_en,system_ar,original_epc_plate_number,original_plate_title,arabic_plate_title,missing_items,reason_unavailable_en,reason_unavailable_ar,required_source_evidence,status
Y60-MISSING-EPC-0001,engine,Engine,المحرك,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Original EPC plate number; original plate title; complete exploded diagram; all callout/reference numbers; every illustrated part; Nissan part numbers; quantity; VIN, production date, engine, transmission, market applicability; supersession and replacement data; technical notes.","No official Nissan EPC/FAST/microfiche/source plate for this Y60 system is present in the workspace. The original plate cannot be enumerated, reproduced, translated, or indexed without source evidence.",لا توجد لوحة مصدر رسمية من Nissan EPC أو FAST أو الميكروفيش لهذا النظام من Y60 داخل مساحة العمل. لا يمكن حصر اللوحة الأصلية أو إعادة إنتاجها أو ترجمتها أو فهرستها بدون دليل مصدر.,"Official Nissan EPC/FAST export, dealer EPC printout, parts microfiche scan, or authorized original plate image/PDF with market/model applicability.",MISSING - OFFICIAL EPC SOURCE REQUIRED
Y60-MISSING-EPC-0002,cooling,Cooling,نظام التبريد,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Original EPC plate number; original plate title; complete exploded diagram; all callout/reference numbers; every illustrated part; Nissan part numbers; quantity; VIN, production date, engine, transmission, market applicability; supersession and replacement data; technical notes.","No official Nissan EPC/FAST/microfiche/source plate for this Y60 system is present in the workspace. The original plate cannot be enumerated, reproduced, translated, or indexed without source evidence.",لا توجد لوحة مصدر رسمية من Nissan EPC أو FAST أو الميكروفيش لهذا النظام من Y60 داخل مساحة العمل. لا يمكن حصر اللوحة الأصلية أو إعادة إنتاجها أو ترجمتها أو فهرستها بدون دليل مصدر.,"Official Nissan EPC/FAST export, dealer EPC printout, parts microfiche scan, or authorized original plate image/PDF with market/model applicability.",MISSING - OFFICIAL EPC SOURCE REQUIRED
Y60-MISSING-EPC-0003,fuel,Fuel,نظام الوقود,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Original EPC plate number; original plate title; complete exploded diagram; all callout/reference numbers; every illustrated part; Nissan part numbers; quantity; VIN, production date, engine, transmission, market applicability; supersession and replacement data; technical notes.","No official Nissan EPC/FAST/microfiche/source plate for this Y60 system is present in the workspace. The original plate cannot be enumerated, reproduced, translated, or indexed without source evidence.",لا توجد لوحة مصدر رسمية من Nissan EPC أو FAST أو الميكروفيش لهذا النظام من Y60 داخل مساحة العمل. لا يمكن حصر اللوحة الأصلية أو إعادة إنتاجها أو ترجمتها أو فهرستها بدون دليل مصدر.,"Official Nissan EPC/FAST export, dealer EPC printout, parts microfiche scan, or authorized original plate image/PDF with market/model applicability.",MISSING - OFFICIAL EPC SOURCE REQUIRED
Y60-MISSING-EPC-0004,ignition,Ignition,نظام الإشعال,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Original EPC plate number; original plate title; complete exploded diagram; all callout/reference numbers; every illustrated part; Nissan part numbers; quantity; VIN, production date, engine, transmission, market applicability; supersession and replacement data; technical notes.","No official Nissan EPC/FAST/microfiche/source plate for this Y60 system is present in the workspace. The original plate cannot be enumerated, reproduced, translated, or indexed without source evidence.",لا توجد لوحة مصدر رسمية من Nissan EPC أو FAST أو الميكروفيش لهذا النظام من Y60 داخل مساحة العمل. لا يمكن حصر اللوحة الأصلية أو إعادة إنتاجها أو ترجمتها أو فهرستها بدون دليل مصدر.,"Official Nissan EPC/FAST export, dealer EPC printout, parts microfiche scan, or authorized original plate image/PDF with market/model applicability.",MISSING - OFFICIAL EPC SOURCE REQUIRED
Y60-MISSING-EPC-0005,lubrication,Lubrication,نظام التزييت,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Original EPC plate number; original plate title; complete exploded diagram; all callout/reference numbers; every illustrated part; Nissan part numbers; quantity; VIN, production date, engine, transmission, market applicability; supersession and replacement data; technical notes.","No official Nissan EPC/FAST/microfiche/source plate for this Y60 system is present in the workspace. The original plate cannot be enumerated, reproduced, translated, or indexed without source evidence.",لا توجد لوحة مصدر رسمية من Nissan EPC أو FAST أو الميكروفيش لهذا النظام من Y60 داخل مساحة العمل. لا يمكن حصر اللوحة الأصلية أو إعادة إنتاجها أو ترجمتها أو فهرستها بدون دليل مصدر.,"Official Nissan EPC/FAST export, dealer EPC printout, parts microfiche scan, or authorized original plate image/PDF with market/model applicability.",MISSING - OFFICIAL EPC SOURCE REQUIRED
Y60-MISSING-EPC-0006,exhaust,Exhaust,نظام العادم,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Original EPC plate number; original plate title; complete exploded diagram; all callout/reference numbers; every illustrated part; Nissan part numbers; quantity; VIN, production date, engine, transmission, market applicability; supersession and replacement data; technical notes.","No official Nissan EPC/FAST/microfiche/source plate for this Y60 system is present in the workspace. The original plate cannot be enumerated, reproduced, translated, or indexed without source evidence.",لا توجد لوحة مصدر رسمية من Nissan EPC أو FAST أو الميكروفيش لهذا النظام من Y60 داخل مساحة العمل. لا يمكن حصر اللوحة الأصلية أو إعادة إنتاجها أو ترجمتها أو فهرستها بدون دليل مصدر.,"Official Nissan EPC/FAST export, dealer EPC printout, parts microfiche scan, or authorized original plate image/PDF with market/model applicability.",MISSING - OFFICIAL EPC SOURCE REQUIRED
Y60-MISSING-EPC-0007,electrical,Electrical,النظام الكهربائي,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Original EPC plate number; original plate title; complete exploded diagram; all callout/reference numbers; every illustrated part; Nissan part numbers; quantity; VIN, production date, engine, transmission, market applicability; supersession and replacement data; technical notes.","No official Nissan EPC/FAST/microfiche/source plate for this Y60 system is present in the workspace. The original plate cannot be enumerated, reproduced, translated, or indexed without source evidence.",لا توجد لوحة مصدر رسمية من Nissan EPC أو FAST أو الميكروفيش لهذا النظام من Y60 داخل مساحة العمل. لا يمكن حصر اللوحة الأصلية أو إعادة إنتاجها أو ترجمتها أو فهرستها بدون دليل مصدر.,"Official Nissan EPC/FAST export, dealer EPC printout, parts microfiche scan, or authorized original plate image/PDF with market/model applicability.",MISSING - OFFICIAL EPC SOURCE REQUIRED
Y60-MISSING-EPC-0008,charging,Charging,نظام الشحن,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Original EPC plate number; original plate title; complete exploded diagram; all callout/reference numbers; every illustrated part; Nissan part numbers; quantity; VIN, production date, engine, transmission, market applicability; supersession and replacement data; technical notes.","No official Nissan EPC/FAST/microfiche/source plate for this Y60 system is present in the workspace. The original plate cannot be enumerated, reproduced, translated, or indexed without source evidence.",لا توجد لوحة مصدر رسمية من Nissan EPC أو FAST أو الميكروفيش لهذا النظام من Y60 داخل مساحة العمل. لا يمكن حصر اللوحة الأصلية أو إعادة إنتاجها أو ترجمتها أو فهرستها بدون دليل مصدر.,"Official Nissan EPC/FAST export, dealer EPC printout, parts microfiche scan, or authorized original plate image/PDF with market/model applicability.",MISSING - OFFICIAL EPC SOURCE REQUIRED
Y60-MISSING-EPC-0009,starter,Starter,نظام بادئ التشغيل,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Original EPC plate number; original plate title; complete exploded diagram; all callout/reference numbers; every illustrated part; Nissan part numbers; quantity; VIN, production date, engine, transmission, market applicability; supersession and replacement data; technical notes.","No official Nissan EPC/FAST/microfiche/source plate for this Y60 system is present in the workspace. The original plate cannot be enumerated, reproduced, translated, or indexed without source evidence.",لا توجد لوحة مصدر رسمية من Nissan EPC أو FAST أو الميكروفيش لهذا النظام من Y60 داخل مساحة العمل. لا يمكن حصر اللوحة الأصلية أو إعادة إنتاجها أو ترجمتها أو فهرستها بدون دليل مصدر.,"Official Nissan EPC/FAST export, dealer EPC printout, parts microfiche scan, or authorized original plate image/PDF with market/model applicability.",MISSING - OFFICIAL EPC SOURCE REQUIRED
Y60-MISSING-EPC-0010,body,Body,الهيكل الخارجي,VERIFICATION REQUIRED,VERIFICATION REQUIRED,VERIFICATION REQUIRED,"Original EPC plate number; original plate title; complete exploded diagram; all callout/reference numbers; every illustrated part; Nissan part numbers; quantity; VIN, production date, engine, transmission, market applicability; supersession and replacement data; technical notes.","No official Nissan EPC/FAST/microfiche/source plate for this Y60 system is present in the workspace. The original plate cannot be enumerated, reproduced, translated, or indexed without source evidence.",لا توجد لوحة مصدر رسمية من Nissan EPC أو FAST أو الميكروفيش لهذا النظام من Y60 داخل مساحة العمل. لا يمكن حصر اللوحة الأصلية أو إعادة إنتاجها أو ترجمتها أو فهرستها بدون دليل مصدر.,"Official Nissan EPC/FAST export, dealer EPC printout, parts microfiche scan, or authorized original plate image/PDF with market/model applicability.",MISSING - OFFICIAL EPC SOURCE REQUIRED
